Long,Lat,FID,EVENTSTA,eventend,SIMULATI,SIMULAT1,UNIQUEAS,assetid,NETWORKM,ASSETNAM,TREATMEN,ESTIMATE,OSISERVI,STRUCTUR,INTERIOR,SERVICES,OSI,SUBSTRUC,SUPESTRU,ROOFCOND,FITTINGS,FLOORCON,HYDRAULI,MECHANIC,FIRECOND,ELECTRIC,SECURITY,SITESERV,EXTERNAL
116.059264222128,-31.9695157508645,"123","1577836800000","1609372800000","0","2020",BD_5037-11,BD_5037-11,"74744",BD_5037-11 - History Village - Orchard Shed, ,0,0,2,3,2,2,3,1,3,3,3,3,2,2,1,3,2,3
116.055081671232,-31.9693617930986,"124","1577836800000","1609372800000","0","2020",BD_5097-00,BD_5097-00,"33420",BD_5097-00 - Stirk Park Public (WC) - (Disabled Toilet), ,0,0,2,2,2,2,3,1,3,1,3,1,2,2,3,3,2,3
116.081680371795,-32.0042924350593,"125","1577836800000","1609372800000","0","2020",BD_5106-00,BD_5106-00,"23005",BD_5106-00 - Waste Transfer Station - (Amenities Building), ,0,0,4,2,3,3,4,4,4,2,2,3,4,3,2,3,2,2
116.057855974538,-31.9562779303358,"126","1577836800000","1609372800000","0","2020",BD_5029-00,BD_5029-00,"104678",BD_5029-00 - Gooseberry Hill Public (WC) - Gooseberry Hill Reserve - Public Toilet, ,0,0,3,4,4,3,2,2,4,4,3,4,4,4,3,2,3,4
116.044293979621,-32.0015095466079,"127","1577836800000","1609372800000","0","2020",BD_5086-00,BD_5086-00,"8442859",BD_5086-00 - Ray Owen Stadium - (Sports Centre), ,0,0,3,3,3,3,3,2,4,3,2,4,4,3,2,3,2,2
116.00497408388,-31.9465737390567,"128","1577836800000","1609372800000","0","2020",BD_5092-02,BD_5092-02,"56480",BD_5092-02 - Scott Reserve Pavilion - Greenkeepers Store, ,0,0,2,3,2,2,2,1,2,3,2,2,3,3,1,3,2,3
116.060648848156,-31.9784475012378,"129","1577836800000","1609372800000","0","2020",BD_5001-02,BD_5001-02,"89077",BD_5001-02 - Administration Buildings - Pump and Tank Building, ,0,0,3,3,4,3,3,4,3,3,2,4,4,3,4,4,4,4
116.061842402995,-31.9783861392281,"130","1577836800000","1609372800000","0","2020",BD_5001-04,BD_5001-04,"31201",BD_5001-04 - Administration Buildings - Store (Old Toilet), ,0,0,5,4,4,4,4,5,5,5,3,4,3,4,4,3,3,4
116.057803060203,-31.9563413340846,"131","1577836800000","1609372800000","0","2020",BD_5027-01,BD_5027-01,"26148",BD_5027-01 - Gooseberry Hill Hall (CHC) - Shed, ,0,0,3,4,3,3,2,4,2,3,4,3,2,4,2,2,2,3
116.13215098846,-32.0345377075684,"132","1577836800000","1609372800000","0","2020",BD_5005-00,BD_5005-00,"145146",BD_5005-00 - Barton's Mill Chapel - (Chapel), ,0,0,5,5,4,5,4,5,5,6,4,4,5,4,4,5,6,4
116.132227721904,-32.0344819882093,"133","1577836800000","1609372800000","0","2020",BD_5005-01,BD_5005-01,"40940",BD_5005-01 - Barton's Mill Chapel - Cell Block, ,0,0,5,5,6,5,4,6,6,6,4,6,4,6,6,6,5,4
116.132317073278,-32.0344641205143,"134","1577836800000","1609372800000","0","2020",BD_5005-02,BD_5005-02,"20850",BD_5005-02 - Barton's Mill Chapel - Shed, ,0,0,2,2,3,2,3,2,2,1,2,3,3,1,3,1,1,3
116.05727082946,-31.974045463827,"135","1577836800000","1609372800000","0","2020",BD_5117-01,BD_5117-01,"22100",BD_5117-01 - Mens Shed - Old Vehicle Inspection Office, ,0,0,3,3,3,3,4,4,2,4,2,3,3,4,2,4,3,4
116.131720127543,-32.034581930919,"136","1577836800000","1609372800000","0","2020",BD_5009-00,BD_5009-00,"31759",BD_5009-00 - Pickering Brook Public (WC) - (Carilla Camping Public Public Toilet), ,0,0,4,4,4,4,5,4,3,3,4,3,4,4,4,5,3,4
116.003828542251,-31.998482445223,"137","1577836800000","1609372800000","0","2020",BD_5030-05,BD_5030-05,"171873",BD_5030-05 - Hartfield Country Club - Greenkeepers Shed, ,0,0,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1
116.003859996774,-31.9986928400096,"138","1577836800000","1609372800000","0","2020",BD_5030-01,BD_5030-01,"9229",BD_5030-01 - Hartfield Country Club - Fuel Depot Shed, ,0,0,2,2,3,2,2,3,2,1,2,3,3,3,2,3,2,2
116.009513856384,-32.0023341690318,"139","1577836800000","1609372800000","0","2020",BD_5039-02,BD_5039-02,"33722",BD_5039-02 - HOUSE - 21 Lewis Road - Shed, ,0,0,2,2,2,2,3,2,1,2,2,3,1,3,2,1,3,2
116.061641676033,-31.9789012598633,"140","1577836800000","1609372800000","0","2020",BD_5056-09,BD_5056-09,"1496422",BD_5056-09 - Kalamunda Wet N Wild - Main Pool, ,0,0,5,3,4,4,5,5,4,3,3,3,5,4,3,5,4,4
116.071780125038,-31.9925275544919,"141","1577836800000","1609372800000","0","2020",BD_5016-00,BD_5016-00,"484139",BD_5016-00 - Depot Buildings - [New] Offices, ,0,0,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1
115.996000054472,-31.9446555926692,"142","1577836800000","1609372800000","0","2020",BD_5019-00,BD_5019-00,"133058",BD_5019-00 - Fleming Reserve Public (WC) - Fleming Reserve - Public Toilet, ,0,0,2,3,2,2,3,2,1,2,3,3,1,2,3,2,1,1
116.072738974594,-31.9921182555019,"143","1577836800000","1609372800000","0","2020",BD_5016-13,BD_5016-13,"26039",BD_5016-13 - Depot buildings - Material Storage Bay Shelter, ,0,0,4,4,5,4,5,3,5,5,3,5,5,5,5,4,3,4
116.070816066889,-31.9925207127263,"144","1577836800000","1609372800000","0","2020",BD_5016-15,BD_5016-15,"31028",BD_5016-15 - Depot buildings - Amenities, ,0,0,4,4,4,4,5,4,3,5,3,4,4,5,3,3,3,3
116.07206990719,-31.9920463447289,"145","1577836800000","1609372800000","0","2020",BD_5016-20,BD_5016-20,"107887",BD_5016-20 - Depot buildings - Drainage & Cement Store, ,0,0,4,5,3,4,4,5,3,4,5,3,3,3,4,3,3,3
116.059611736761,-31.9705798423575,"146","1577836800000","1609372800000","0","2020",BD_5037-00,BD_5037-00,"36598",BD_5037-00 - History Village - (Main Entrance), ,0,0,6,5,6,6,5,6,6,5,5,6,5,6,6,6,5,6
